asset_id,post_url,post_date,caption_excerpt,visual_what,is_atabek_visible,role_hypothesis,event_name_candidate,event_place_candidate,event_date_candidate,org_speakers_visible,web_match,claim_level,strategic_tag,publish_risk,notes
DP012iIjV-j,https://www.instagram.com/p/DP012iIjV-j/,2025-10-15,"Первый ортодонтический конгресс в Центральной Азии; 7 спикеров; Раимов Атабек …",promo/video listing speakers,yes_named,speaker_listed,Ортодонтический конгресс ЦА (self-named),Бишкек (implied),anonс 2025-10+,listed peers,not_found_independent,explicit_listing,education_speaker / orthodontics,low,Needs date/place confirmation + whether event occurred; candidate SPEAKING SPK-00x
DRyjKW3iOmb,https://www.instagram.com/p/DRyjKW3iOmb/,2025-12-03,"21 ДЕКАБРЯ Бишкек … 5000/3000 сом … 0504925494",video анонс,unclear,host_or_promoter,unnamed day event (same pricing as OrthoDay),Бишкек,2025-12-21,unknown,not_found,explicit_announcement,education_host,low,Likely same format as OrthoDay; name not in caption
DUrwwBhCCmZ,https://www.instagram.com/p/DUrwwBhCCmZ/,2026-02-13,"приглашаем всех на OrthoDay; 29 марта; Бишкек",video анонс,unclear,host_or_promoter,OrthoDay,Бишкек,2026-03-29,unknown,not_found_independent,explicit_announcement,education_host,low,Role not explicit in caption; see DWggvq0DUJ5 for post-event role
DWggvq0DUJ5#0,https://www.instagram.com/p/DWggvq0DUJ5/,2026-03-30,"Это было мощно… Благодарен каждому участнику… Следующая остановка: Южная часть страны… Платформа @ortho.community",Group celebration; lanyards,yes,host_organizer_language,OrthoDay,Бишкек,2026-03-29,speakers listed in caption (others); @ortho.community,not_found,explicit_host_language,education_host,low,Caption lists other speakers; does not list self as speaker — visual does
DWggvq0DUJ5#1,https://www.instagram.com/p/DWggvq0DUJ5/,2026-03-30,"(same)",Atabek on stage with handheld mic; LED screen «…THO DAY / 29 МАРТА / …7 СП…»,yes,speaker_or_host_on_stage,OrthoDay,Бишкек,2026-03-29,OrthoDay branding,not_found,visual_strong,education_host / speaking,low,evidence/instagram-passb/DWggvq0DUJ5/slide01.jpg; strongest OrthoDay role proof
DYfEeOEDeP-#0,https://www.instagram.com/p/DYfEeOEDeP-/,2026-05-18,"Kim Jeong-Il … Автор книги MEAW … Спасибо профессору…",Photo with East-Asian lecturer; Atabek holds ortho dental model; lecture room,yes,attendee_with_instructor,MEAW course / meeting Kim Jeong-Il,Korea_candidate (see sibling post docs),2024-05 or 2026-05 TBD,Kim Jeong-Il,kooalldam.com brand on sibling,visual_strong_meeting,method_MEAW / international,medium,Same room aesthetic as DYkP5a9jSHZ; year TBD
DYfEeOEDeP-#1,https://www.instagram.com/p/DYfEeOEDeP-/,2026-05-18,"(same)",Book cover MEAW vol.2 Kim Jeong-Il Well Publishing,no,network_tribute,n/a,n/a,n/a,Kim Jeong-Il,publisher identifiable,network_only,method_MEAW,low,Book prop; not proof of course alone
DYkP5a9jSHZ#1,https://www.instagram.com/p/DYkP5a9jSHZ/,2026-05-20,"Спасибо … @dr.yulduzkasimova @nazrullaevbakhrom за организацию мега крутого курса",Group photo; projection screen circular MEAW logo,yes,attendee,MEAW course (organized w/ Nazrullaev/Kasimova per caption),Korea_candidate,see#4,Kim Jeong-Il on screen context; organizers mentioned,visual_strong,method_MEAW / education_attendee,medium,Caption organizers ≠ Дагестан
DYkP5a9jSHZ#cert,https://www.instagram.com/p/DYkP5a9jSHZ/,2026-05-20,"(same)",Atabek + lecturer hold Certificate «Dr. Raimov Atabek»; seal/QR,yes,certificate_recipient,MEAW-related course,unknown_until_OCR,unknown,lecturer East-Asian (Kim Jeong-Il hypothesis),not_found,visual_strong,method_MEAW / education_attendee,medium,Full certificate OCR still needed (issuer/dates)
DYkP5a9jSHZ#3,https://www.instagram.com/p/DYkP5a9jSHZ/,2026-05-20,"(same)",Lecturer presenting slide «Bracket System in Class III»; logos KOO ALL DAM / www.kooalldam.com,no,attendee_recording,MEAW / Kooalldam teaching,Korea_candidate,unknown,Kim Jeong-Il / Kooalldam,https://www.kooalldam.com (discovered brand),visual_strong_context,method_MEAW,low,Supports Korea/MEAW school link
DYkP5a9jSHZ#4,https://www.instagram.com/p/DYkP5a9jSHZ/,2026-05-20,"(same)",Badge «Raimov Atabek»; book dedication to Atabek about MEAW; papers «MEAW INTRO COURSE» «Short Course for … Dentists in Korea»; date strings on docs,yes,attendee,MEAW Intro Course,Korea,docs show 16-20 May (year OCR 2024 — VERIFY),Kim Jeong-Il,kooalldam,visual_strong,method_MEAW / international,medium,CRITICAL: re-OCR year (post is 2026-05; dedication may be 2024 or 2026). evidence/instagram-passb/DYkP5a9jSHZ/slide04.jpg
DaA_LgmDBK6,https://www.instagram.com/p/DaA_LgmDBK6/,2026-06-25,"ВПЕРВЫЕ В ДАГЕСТАНЕ — Назруллаев Бахром…",Promo poster: dental school; Nazrullaev course; Махачкала ALLEA RESORT; micro-implants day2; Atabek NOT on poster,no,promoter_repost_not_speaker,Курс Назруллаева (dental school),Махачкала,24-25 октября (year unknown),Nazrullaev / @dental_school,not_validated,network_only,education_network,low,Do NOT classify as Atabek attendance/speaking without other proof
DYOflVvN0DS,https://www.instagram.com/p/DYOflVvN0DS/,2026-05-12,"Наши братья с Ташкента… @fayzullo.gulyamov",Night outdoor group photo,yes,network_hosting_language,informal meetup,Бишкек_candidate,2026-05,fayzullo.gulyamov,n/a,network_only,network_CIS,low,No formal event name
DUXJqp9iKVb,https://www.instagram.com/p/DUXJqp9iKVb/,2026-02-05,"наставничество… зачем мы запускаем школу наставничества…",video podcast,yes_likely,host_or_guest,unnamed podcast / школа наставничества,unknown,2026-02,unknown,URL in profile bio TBD,explicit_intent,education_mentorship,medium,«школа наставничества» ≠ Raimov Academy proof; clinic C-11
